,id,HW1,HW2,HW3,HW4,Dep,Grd,HW6,HW7,HW8,HW9,Class_Quiz_1,Class_Quiz_2,Class_Quiz_3,Lab_Quiz_1,Lab_Quiz_2,Class_Midterm,Lab_Midterm
0,0,100.0,99.0,110.0,100.0,CSIE,1,110.0,93.0,105.0,43.0,76.0,72.0,84.0,97.0,97.0,92.0,96.0
1,1,81.0,108.0,110.0,75.0,CSIE,1,0.0,44.0,0.0,1.0,102.0,0.0,4.0,10.0,0.0,104.0,87.0
2,2,90.0,88.0,99.0,107.5,CSIE,1,70.0,79.0,109.0,88.0,81.0,86.0,69.0,107.0,10.0,49.0,63.0
3,3,100.0,110.0,110.0,75.0l,CSIE,1,103.0,87.0,94.0,110.0,80.0,70.0,45.0,102.0,96.0,45.0,46.0
4,4,96.0,104.0,99.0,110.0,CSIE,1,102.0,105.0,110.0,107.5,58.0,53.0,57.0,97.0,78.0,39.0,62.0
5,5,106.0,100.0,110.0,95.0,CSIE,1,110.0,110.0,91.0,97.0,82.0,47.0,64.0,77.0,0.0,57.0,72.0
6,6,96.0,110.0,105.0,110.0,CSIE,1,110.0,110.0,108.0,101.0,77.0,71.0,87.0i,104.0,4.0,89.0,70.0
7,7,110.0,105.0,103.0,110.0,CSIE,1,104.0,110.0,106.0,110.0,100.0,85.0,98.0,101.0,110.0,94.0,91.0
8,8,85.0,94.0,109.0,101.0,CSIE,1,100.0,88.0,110.0,103.0,97.0,74.0,49.0,95.0,63.0,42.0,71.0
9,9,110.0,92.0,110.0,96.0,CSIE,1,81.0,89.0,110.0,106.0,75.0,67.0,67.0,106.0,102.0,57.0,97.0
10,10,110.0,103.0,100.0,93.0,CSIE,1,107.0,105.0,110.0,100.0,63.0,102.0,99.0,106.0,98.0,106.0,94.0
11,11,110.0,106.0,110.0,110.0,CSIE,1,109.0,92.0,109.0,110.0,83.0,84.0,101.0,91.0,110.0,97.0,108.0
12,12,78.0,106.0,80.0,108.0,CSIE,1,105.0,106.0,105.0,90.0,81.0,69.0,89.0,106.0,98.0,82.0,68.0
13,13,68.0,86.0,94.0,98.0,CSIE,1,94.0,110.0,43.0,94.0,72.0,28.0,50.0,66.0,91.0,85.0,70.0
14,14,83.0,109.0,100.5,110.0,CSIE,1,107.0,106.0,110.0,107.0,90.0,75.0,91.0,107.0,68.0,71.0,90.0
15,15,96.0,103.0,110.0,80.0,CSIE,1,110.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,8.0
16,16,85.0,101.0,110.0,97.0,CSIE,1,103.0,107.5,76.0,86.0,61.0,98.0,107.0,93.0,61.0,50.0,39.0
17,17,108.0,107.0,53.0,4.0,CSIE,1,36.5,22.0,50.0,3.0,25.0,46.0,0.0,76.0,10.0,27.0,35.0
18,18,62.0,84.0,107.5,105.0,CSIE,1,89.0,86.0,110.0,104.0,69.0,71.0,30.5,92.0,109.0,68.0,82.0
19,19,107.0,110.0,102.0,108.0,CSIE,1,108.0,110.0,110.0,104.0,93.0,97.0,102.5,97.0,95.0,102.0,101.0
20,20,108.0,110.0,110.0,110.0,CSIE,1,110.0,101.0,61.0,110.0,75.0,100.0,1.0,100.0,90.0,94.0,91.0
21,21,84.0,106.0,100.0,105.0,CSIE,1,109.0,108.0,110.0,98.0,40.0,102.0,89.0,100.0,96.0,90.0,95.0
22,22,110.0,109.0,110.0,w110.0,CSIE,1,110.0,110.0,110.0,101.0,3.0,80.0,85.0,107.0,70.0,100.0,85.0
23,23,106.0,110.0,108.0,91.0,CSIE,1,108.0,93.0,99.0,107.0,72.0,82.0,75.0,93.0,102.0,93.0,97.0
24,24,71.0,91.0,110.0,92.0,CSIE,1,106.5,110.0,89.0,89.0,76.0,65.0,0.0,47.0,77.0,25.0,67.0
25,25,107.0,109.0,100.0,93.0,CSIE,1,110.0,102.0,74.0,106.0,78.0,42.0,54.0,109.0,95.0,85.0,74.0
26,26,100.0,108.0,110.0,37.0,CSIE,1,104.0,110.0,31.0,9.0,0.0,33.0,33.0,86.0,5.0,40.0,65.0
27,27,105.0,97.0,110.0,110.0,CSIE,1,107.0,103.0,e109.0,81.0,104.0,80.0,94.0,67.0,72.0,44.0,86.0
28,28,89.0,110.0,110.0,41.0,CSIE,1,109.0,85.0,107.0,109.0,10.0,70.0,45.0,104.0,103.0,0.0,58.0
29,29,102.0,110.0,102.0,103.0,CSIE,1,110.0,108.0,107.0,103.0,43.0,65.0,78.0,80.0,76.0,71.5,16.0
30,30,88.0,67.0,110.0,95.0,CSIE,1,102.0,88.0,100.0,72.0,90.0,85.0,97.0,109.0,77.0,86.0,90.0
31,31,107.0,101.0,110.0,110.0,CSIE,1,110.0,106.0,110.0,107.0,66.0,59.0,65.0,102.0,49.0,67.0,64.0
32,32,101.0,109.0,102.0,91.0,CSIE,1,105.0,100.0,105.0,110.0,67.0,90.0,77.0,105.0,100.0,83.0,77.0
33,33,110.0,110.0,110.0,106.0,CSIE,1,110.0,102.0,107.0,110.0,50.0,82.0,89.0,99.0,94.0,88.0,105.0
34,34,92.0,93.0,83.0,103.0,CSIE,1,104.0,63.0,110.0,104.0,7.0,52.0,18.0,107.0,39.0,10.0,83.0
35,35,105.0,101.0,85.5,108.0,CSIE,1,103.0,100.0,110.0,110.0,58.0,86.0,98.0,106.0,9.0,91.0,73.0
36,36,98.0,101.0,110.0,110.0,CSIE,1,105.0,104.0,85.0,105.0,97.0,98.0,75.0,98.0,93.0,104.0,95.0
37,37,104.0,98.0,106.0,110.0,CSIE,1,110.0,110.0,105.0,110.0,94.0,81.0,80.0,97.0,100.0,78.0,88.0
38,38,110.0,105.0,110.0,105.0,CSIE,1,110.0,83.0,108.0,46.0,77.0,72.0,95.0,99.0,64.0,95.0,85.0
39,39,99.0,105.0,100.0,105.0,CSIE,1,106.0,90.0,107.0,110.0,75.0,72.0,91.0,95.0,48.0,98.0,77.0
40,40,79.0,110.0,110.0,105.0,CSIE,1,109.0,110.0,110.0,110.0,85.0,94.0,96.5,110.0,41.0,105.0,79.0
41,41,106.0,88.0,110.0,97.0,CSIE,1,103.0,62.0,110.0,101.0,93.0,77.0,82.0,97.0,27.0,57.0,42.0
