matchId,matchDuration,matchType,maxPlace,numGroups
0000a43bce5eec,1346,squad-fpp,28,28
0000eb01ea6cdd,1363,squad-fpp,28,27
0002912fe5ed71,1949,solo,95,92
0003b92987589e,1410,duo,50,47
0006eb8c17708d,1382,duo-fpp,47,44
00077604e50a63,1452,squad-fpp,30,29
00086c74bb4efc,1465,duo-fpp,49,48
00086e740a5804,1962,solo-fpp,98,95
001125344b660c,1421,duo,50,47
001360264d4b5f,1332,duo-fpp,47,44
0014d9d1b0aff6,1849,duo-fpp,48,47
001616ed5da99b,1876,solo-fpp,97,94
0016fe3ee17ce7,1910,duo,49,47
00177a6ce4dfb5,1831,duo-fpp,47,47
00188d50e054f5,2036,squad,30,26
001937f739426c,1981,solo-fpp,95,92
0019bc34b3c58e,1832,duo-fpp,49,47
0019d729577e9c,1342,duo,49,47
001cd8e7e6b737,1093,normal-solo-fpp,23,17
001e5e4799a31c,1322,squad-fpp,30,29
001e7bc06b1611,1768,normal-squad-fpp,15,15
001eeedf57047a,1381,solo-fpp,99,97
00200fe5d9aae5,1381,squad-fpp,29,28
0022adebf59be6,1381,solo-fpp,96,94
0022e660571ee8,1843,squad-fpp,30,30
00232f9d9c5421,1767,squad,29,29
0025477f88bbd9,1708,squad-fpp,29,28
002771bd25fe0e,1443,squad-fpp,26,25
0027a504cd3b0c,1419,duo-fpp,50,50
0027b1ffb2e346,1808,solo,17,2
002aeef57764f8,1869,duo-fpp,50,49
002af9fec8e1e8,1419,solo-fpp,94,91
002b3b8e0e3870,1389,duo-fpp,48,46
003228f5dc4934,1402,duo-fpp,49,47
0032986e32b6ce,1884,squad,26,24
00335f974fb508,1321,squad-fpp,27,27
0039ac593fdb48,1419,squad,27,27
003a7ce862fa03,1386,squad-fpp,31,31
003b6b0d02a30f,1345,squad-fpp,28,28
003c2b333747d9,992,normal-squad-fpp,3,3
003dde2a3cfe21,1327,squad-fpp,28,27
0043d1bf58fcab,1380,squad-fpp,28,26
0043d584520de4,1859,duo-fpp,49,48
00443dc542d36f,2194,squad,27,27
004491afc66da5,1398,squad-fpp,28,27
0044d2e8f90a9c,1448,solo,96,95
004760d4b1aa7e,1832,squad-fpp,27,25
00489048e21690,1751,duo-fpp,47,45
004cddec9da619,1856,duo,48,46
004d5cbd41b845,1891,squad-fpp,28,26
004d71d7e987ef,1358,squad-fpp,29,29
004fb5a1da0f97,1968,solo,95,89
005166f6ee4ab6,1431,duo-fpp,50,47
0052116de68e46,1384,duo-fpp,50,50
0052ab0d129257,1287,squad-fpp,27,26
0055b5c097ed61,1316,solo-fpp,98,96
005712df62d721,1375,duo-fpp,49,47
005908fb69efc4,1784,duo-fpp,47,47
0059939eb6ba30,1783,squad,27,27
005aca992c9a78,1380,squad,25,23
005c6a0d0e7d6c,1923,squad,27,25
005e236012c55f,1312,duo-fpp,49,45
005e3f527c4a6a,1497,duo,50,48
