 
                                                                                                                                                                                                                                                                
 
                                                          exercise_    index_                   last_                            best_              strike_
 optionid          issuer              date    cp_flag      style       flag       exdate        date     secid    best_bid      offer    volume     price

133485146    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105     3232.30    3238.00         0     100000
130915017    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105     2333.00    2338.30      2000    1000000
130915018    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200709    108105     2232.90    2237.70         0    1100000
129372797    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200402    108105     2133.10    2138.20         0    1200000
133142190    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     2108.10    2112.80         0    1225000
129372798    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200406    108105     2083.00    2087.70         0    1250000
133142191    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200402    108105     2058.00    2062.70         0    1275000
129372799    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200406    108105     2033.00    2037.70         0    1300000
133142192    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     2008.00    2012.70         0    1325000
129372800    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200824    108105     1983.10    1987.70         0    1350000
132891702    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200402    108105     1958.20    1963.20         0    1375000
129372801    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200403    108105     1933.10    1937.70         0    1400000
132891703    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200618    108105     1908.10    1912.70         0    1425000
129372802    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200717    108105     1883.10    1887.60         0    1450000
129372803    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200820    108105     1858.10    1862.60         0    1475000
129372804    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105     1833.20    1837.60         0    1500000
129372805    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200406    108105     1808.30    1813.10         0    1525000
129372806    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200406    108105     1783.30    1788.10         0    1550000
129372807    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200403    108105     1758.30    1762.80         0    1575000
129372808    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200324    108105     1733.20    1737.60         0    1600000
129372809    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200406    108105     1708.20    1712.60         0    1625000
129372810    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200401    108105     1683.30    1687.60         0    1650000
129372811    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200331    108105     1658.40    1663.10         0    1675000
129372812    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200828    108105     1633.40    1637.80         0    1700000
129372813    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200611    108105     1608.30    1612.60         0    1725000
129372814    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200629    108105     1583.30    1587.60         0    1750000
129372815    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200701    108105     1558.30    1562.60         0    1775000
129372816    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200902    108105     1533.50    1538.10         0    1800000
129372817    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200420    108105     1508.50    1513.10         0    1825000
129372818    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200603    108105     1483.50    1487.70         0    1850000
129372819    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200612    108105     1458.40    1462.60         0    1875000
129372820    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200630    108105     1433.40    1437.60         0    1900000
