ISSUER_ID,MATURITY,OFFERING_DATE,OFFERING_PRICE,OFFERING_YIELD,INTEREST_FREQUENCY,COUPON
1018,1992/2/15,1990/2/12,99.945,8.979,2,8.95
1018,2010/6/15,1990/6/1,100,8.7,2,8.7
1018,1995/6/15,1990/6/13,99.899,9.225,2,9.2
1018,1993/10/1,1990/9/24,100,9.125,2,9.125
1018,1993/11/1,1990/10/25,100,9.15,2,9.15
1018,1992/12/1,1990/11/26,100,8.875,2,8.875
1018,1995/4/15,1991/4/11,100,8.375,2,8.375
1018,1995/8/15,1991/8/21,100,7.7,2,7.7
1018,1996/9/1,1991/8/29,99.794,8.05,2,8
1018,1994/10/1,1991/9/27,99.932,6.975,2,6.95
1018,1996/11/15,1991/11/14,100,7.375,2,7.375
1018,1995/1/15,1991/12/6,99.971,6.258,2,6.25
1018,1996/1/1,1991/12/20,99.774,6.44,2,6.375
1018,1997/1/15,1992/1/7,99.981,6.755,2,6.75
1018,1999/8/1,1992/7/28,100,6.7,2,6.7
1018,1998/3/1,1993/2/23,99.871,5.729,2,5.7
1018,2000/3/1,1993/2/23,99.72,6.174,2,6.125
1018,2000/4/15,1993/4/14,99.6,6.07,2,6
1018,1998/5/15,1993/6/16,99.526,5.661,2,5.5
1018,2000/7/15,1993/7/19,99.516,5.835,2,5.75
1018,2000/6/15,1993/6/16,99.61,6.069,2,6
1018,2003/9/1,1993/9/3,100,5.9,2,5.9
1018,2004/7/15,1994/7/13,99.691,7.918,2,7.875
1018,2001/11/1,1994/11/3,99.84,8.279,2,8.25
1018,2025/2/1,1995/2/3,100,7.875,2,7.875
1018,2005/3/1,1995/2/23,99.924,7.761,2,7.75
1018,2002/3/15,1995/3/14,99.441,7.479,2,7.375
1018,2005/4/15,1995/4/17,99.545,7.44,2,7.375
1018,2002/5/1,1995/5/5,99.235,7.015,2,6.875
1018,2000/5/15,1995/5/16,99.673,6.758,2,6.75
1018,2015/6/1,1995/5/30,100,6.625,2,6.625
1018,2005/6/1,1995/6/2,99.159,6.616,2,6.5
1018,2002/9/15,1995/9/14,99.339,6.494,2,6.375
1018,2005/12/1,1995/12/4,99.241,6.228,2,6.125
1018,2003/1/15,1996/1/18,99.845,5.902,2,5.875
1018,2001/2/15,1996/2/12,100,5.55,2,5.55
1018,2006/11/15,1996/11/12,99.737,6.66,2,6.625
1018,2001/11/15,1996/11/21,99.753,6.258,2,6.2
1018,2002/7/1,1997/7/7,99.914,6.47,2,6.45
1018,2007/7/1,1997/7/7,99.675,6.795,2,6.75
1018,2004/8/1,1997/7/30,99.945,6.51,2,6.5
1018,2008/1/1,1998/1/5,99.962,6.255,2,6.25
,,,,,,
