公司代碼,年月日,成份股,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),當日均價(元),5日均價(元),10日均價(元),20日均價(元),報酬率％,日報酬率 %,流通在外股數(千股),市值(百萬元),本益比-TEJ,股價淨值比-TEJ,現金股利率,股價漲跌(元),高低價差%,指數因子,累計營收(千元),單月營收與上月比％,單月營收成長率％,單月營收(千元),配股(Y/N),息值(元)
0050 元大台灣50,2015/1/5,,66.4,66.75,66,66.55,"6,295","417,637",66.3379,55.8106,55.5433,54.9418,-0.4488,-0.4488,"1,135,500","75,567",,,2.33,-0.3,1.1219,,,,,,,
0056 元大高股息,2015/1/5,,24.16,24.16,24.01,24.15,508,"12,264",24.1082,18.66,18.56,18.46,-0.0414,-0.0414,"191,534","4,625",,,4.14,-0.01,0.6209,,,,,,,
2330 台積電,2015/1/5,,140.5,140.5,137.5,139.5,"32,214","4,459,516",138.4333,115.1339,114.3526,112.7079,-1.0638,-1.0638,"25,929,662","3,617,187",15.95,3.78,2.15,-1.5,2.1277,,,,,,,
3008 大立光,2015/1/5,,"2,400","2,410","2,350","2,350",833,"1,979,137","2,373.52","2,183.32","2,150.54","2,130.23",-1.8789,-1.8789,"134,140","315,229",20.56,8.15,1.21,-45,2.5052,,,,,,,
2454 聯發科,2015/1/5,,460,467,460,462,"2,482","1,148,998",462.9097,377.81,376.59,367.52,0,0,"1,571,492","726,029",16.43,3.14,3.25,0,1.5152,,,,,,,
2317 鴻海,2015/1/5,,87.8,87.8,86.9,87.2,"25,369","2,210,737",87.143,75.31,75.3,75.36,-0.7964,-0.7964,"14,793,406","1,289,985",11.16,1.5,1.83,-0.7,1.0239,,,,,,,
2884 玉山金,2015/1/5,,19.6,19.65,19.1,19.35,"6,269","121,457",19.372,11.6518,11.6637,11.5116,-1.5267,-1.5267,"7,053,000","136,475",13.32,1.31,1.31,-0.3,2.799,,,,,,,
2881 富邦金,2015/1/5,,50.1,50.4,49.5,50.4,"11,529","575,835",49.9425,40.08,39.82,39.43,-0.5917,-0.5917,"10,233,603","515,773",9.18,1.39,2.98,-0.3,1.7751,,,,,,,
2882 國泰金,2015/1/5,,46.75,46.75,46.2,46.4,"15,539","720,762",46.3838,37.44,37.26,37.07,-1.1715,-1.1715,"12,563,210","582,932",13.1,1.47,3.08,-0.55,1.1715,,,,,,,
2885 元大金,2015/1/5,,15.4,15.4,15.2,15.3,"9,482","144,865",15.277,12.32,12.26,12.19,-0.6494,-0.6494,"10,141,066","155,158",9.66,0.94,4.14,-0.1,1.2987,,,,,,,
